utterance,intent,source_row
Does it include breakfast?,ask_info,92
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,704
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,138
"""Hi I'm planning a"" trip to Barcelona and need a hotel. """,greeting,430
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,647
Looking for a place to stay in HafenCity Hamburg. Any suggestions?,provide_location,1044
Looking for a place to stay in Bonfim Porto. Any suggestions?,provide_location,895
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $86 per night.""",provide_location,556
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $120 per night.""",provide_location,560
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 67 per night.""",provide_location,351
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,731
""" What's the best way to start learning about blockchain?",ask_info,29
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,1001
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,860
"""Yes please. Book it for me.""",confirmation,488
"I'd like something in Westminster Borough London with a good rating. Budget is around ‰âÂåÊ186 per night. """,provide_location,167
"""Yes please. Book it for me.""",confirmation,484
"""Yes please. Book it for me.""",confirmation,357
"""I'd like something in Gare "" Luxembourg with a good rating. Budget is around â¬Â 113 per night.""",confirmation,231
"I'd like something in Hamburg City Center (New Town) Hamburg with a good rating. Budget is around $132 per night.""",provide_location,725
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,678
Looking for a place to stay in Castello Venice. Any suggestions?,provide_location,1165
"I'd like something in Westminster Borough London with a good rating. Budget is around ‰âÂåÊ70 per night.""",confirmation,163
Looking for a place to stay in Tower Hamlets London. Any suggestions?,ask_info,843
Does it include breakfast?,ask_info,549
Looking for a place to stay in Castello Venice. Any suggestions?,provide_location,1109
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 45 per night.""",provide_location,395
"I'd like something in St. Georg Hamburg with a good rating. Budget is around $56 per night.""",provide_location,717
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,708
I will visit from [Check in Date] until [Check out Date].,confirmation,1186
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1127
Does it include breakfast?,ask_info,720
"""Yes please. Book it for me.""",confirmation,607
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,747
Looking for a place to stay in Tempelhof-SchÃ¶neberg Berlin. Any suggestions?,provide_location,1007
Looking for a place to stay in Kensington and Chelsea London. Any suggestions?,provide_location,839
Does it include breakfast?,ask_info,368
Looking for a place to stay in Frankfurt Airport Area Frankfurt. Any suggestions?,provide_location,1014
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,649
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,270
I want to visit [City Name].,confirmation,15
"I'd like something in Luxembourg with a good rating. Budget is around â¬Â 95 per night.""",confirmation,255
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,820
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,686
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,461
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,593
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $152 per night.""",provide_location,797
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,888
Does it include breakfast?,ask_info,316
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,808
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $78 per night.""",provide_location,632
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,988
Looking for a place to stay in St. Georg Hamburg. Any suggestions?,provide_location,1039
"I'd like something in Heraklio with a good rating. Budget is around $49 per night.""",confirmation,778
""" Can you play music?",confirmation,25
"""Yes please. Book it for me.""",confirmation,261
"""Yes please. Book it for me.""",confirmation,653
I will visit from [Check in Date] until [Check out Date].,confirmation,71
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,850
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,727
Looking for a place to stay in 10th arr. Paris. Any suggestions?,provide_location,955
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,845
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,599
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $173 per night.""",provide_location,796
