utterance,intent,source_row
Hello I would like to book a hotel room.,greeting,0
Hello I'm looking to reserve a hotel room.,greeting,1
Good day I need to book accommodation.,greeting,2
I'd like to book a hotel room.,book_hotel,3
I want to visit [City Name].,confirmation,4
I will visit from [Check in Date] until [Check out Date].,confirmation,5
I want to visit [City Name].,confirmation,6
I will visit from [Check in Date] until [Check out Date].,confirmation,7
I want to visit [City Name].,confirmation,8
I will visit from [Check in Date] until [Check out Date].,confirmation,9
I want to visit [City Name].,confirmation,10
I will visit from [Check in Date] until [Check out Date].,confirmation,11
I will visit from [Check in Date] until [Check out Date].,confirmation,12
I need to make a hotel reservation.,confirmation,13
I will visit from [Check in Date] until [Check out Date].,confirmation,14
I want to visit [City Name].,confirmation,15
I will visit from [Check in Date] until [Check out Date].,confirmation,16
I will visit from [Check in Date] until [Check out Date].,confirmation,17
I will visit from [Check in Date] until [Check out Date].,confirmation,18
This is a great choice!,confirmation,19
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,20
"""Yes please. Book it for me.""",confirmation,21
""" I need a healthy recipe for dinner.",confirmation,22
""" What's the latest news on Mars exploration?",ask_info,23
""" How can I fix a bug in my Python code that's causing a syntax error?",confirmation,24
""" Can you play music?",confirmation,25
""" What are the benefits of meditation?",ask_info,26
""" What are the top programming languages to learn in 2024?",ask_info,27
""" How can I improve my data analysis skills?",ask_info,28
""" What's the best way to start learning about blockchain?",ask_info,29
""" Can AI help in environmental conservation?",ask_info,30
""" What are the latest trends in AI research?",ask_info,31
""" How can I stay motivated while learning to code?",ask_info,32
""" What's a simple explanation of quantum computing?",ask_info,33
""" Can you recommend a good science fiction book?",ask_info,34
""" What are effective strategies for time management?",ask_info,35
""" How do neural networks work?",ask_info,36
""" What are the top programming languages to learn in 2024?",ask_info,37
How can I improve my data analysis skills?,ask_info,38
Can AI help in environmental conservation?,ask_info,39
What are the latest trends in AI research?,ask_info,40
How can I stay motivated while learning to code?,ask_info,41
What's a simple explanation of quantum computing?,ask_info,42
Can you recommend a good science fiction book?,ask_info,43
What are effective strategies for time management?,ask_info,44
How do neural networks work?,ask_info,45
What are the top programming languages to learn in 2024?,ask_info,46
How can I improve my data analysis skills?,ask_info,47
